"rank","title","original_title","year","rating_num","rating_count","dbid"
"90","喜剧之王","喜劇之王","1999","8.8","1112821","1302425"
"91","致命ID","Identity","2003","8.9","965384","1297192"
"92","杀人回忆","살인의 추억","2003","8.9","850134","1300299"
"93","摩登时代","Modern Times","1936","9.3","352146","1294371"
"94","加勒比海盗","Pirates of the Caribbean: The Curse of the Black Pearl","2003","8.9","982247","1298070"
"95","春光乍泄","春光乍洩","1997","9.0","716859","1292679"
"96","海豚湾","The Cove","2009","9.3","385053","3442220"
"97","美国往事","Once Upon a Time in America","1984","9.1","478406","1292262"
"98","红辣椒","パプリカ","2006","9.0","580982","1865703"
"99","七宗罪","Se7en","1995","8.8","1078018","1292223"
"100","唐伯虎点秋香","唐伯虎點秋香","1993","8.8","1242069","1306249"
"101","狩猎","Jagten","2012","9.1","479080","6985810"
"102","幽灵公主","もののけ姫","1997","8.9","679343","1297359"
"103","寄生虫","기생충","2019","8.8","1566411","27010768"
"104","甜蜜蜜","甜蜜蜜","1996","8.9","684395","1305164"
"105","天书奇谭","天书奇谭","1983","9.2","342633","1428581"
"106","蝙蝠侠：黑暗骑士崛起","The Dark Knight Rises","2012","8.9","827436","3395373"
"107","超能陆战队","Big Hero 6","2014","8.8","1161393","11026735"
"108","茶馆","茶馆","1982","9.5","216384","1461403"
"109","7号房的礼物","7번방의 선물","2013","8.9","629298","10777687"
"110","第六感","The Sixth Sense","1999","8.9","649297","1297630"
"111","爱在日落黄昏时","Before Sunset","2004","8.9","666127","1291990"
"112","爱在黎明破晓前","Before Sunrise","1995","8.8","816189","1296339"
"113","头脑特工队","Inside Out","2015","8.9","822810","10533913"
"114","哈利·波特与火焰杯","Harry Potter and the Goblet of Fire","2005","8.8","816475","1309055"
"115","未麻的部屋","Perfect Blue","1997","9.1","434095","1395091"
"116","被嫌弃的松子的一生","嫌われ松子の一生","2006","8.8","782657","1787291"
"117","重庆森林","重慶森林","1994","8.8","934534","1291999"
"118","借东西的小人阿莉埃蒂","借りぐらしのアリエッティ","2010","8.9","636697","4202302"
"119","菊次郎的夏天","菊次郎の夏","1999","8.9","683197","1293359"
"120","入殓师","おくりびと","2008","8.9","749662","2149806"
"121","剪刀手爱德华","Edward Scissorhands","1990","8.7","1130538","1292370"
"122","断背山","Brokeback Mountain","2005","8.8","792985","1418834"
