"rank","title","imdbid","dbid"
"141","A Beautiful Mind","tt0268978","1306029"
"142","Lock, Stock and Two Smoking Barrels","tt0120735","1293350"
"143","Casino","tt0112641","1299799"
"144","The Seventh Seal","tt0050976","1293234"
"145","Inside Out","tt2096673","10533913"
"146","Room","tt3170832","25724855"
"147","Mr. Smith Goes to Washington","tt0031679","1297127"
"148","The Elephant Man","tt0080678","1293200"
"149","The Wolf of Wall Street","tt0993846","2997076"
"150","V for Vendetta","tt0434409","1309046"
"151","Warrior","tt1291584","3217169"
"152","Blade Runner","tt0083658","1291839"
"153","The General","tt0017925","1292778"
"154","Wild Strawberries","tt0050986","1293071"
"155","Dial M for Murder","tt0046912","1301231"
"156","Trainspotting","tt0117951","1292528"
"157","No Country for Old Men","tt0477348","1857099"
"158","There Will Be Blood","tt0469494","1945780"
"159","Gone with the Wind","tt0031381","1300267"
"160","The Sixth Sense","tt0167404","1297630"
"161","Fargo","tt0116282","1292067"
"162","Gran Torino","tt1205489","3026357"
"163","The Thing","tt0084787","1296794"
"164","The Deer Hunter","tt0077416","1292403"
"165","Finding Nemo","tt0266543","1291586"
"166","Sherlock Jr.","tt0015324","1303408"
"167","Come and See","tt0091251","1422186"
"168","The Big Lebowski","tt0118715","1300044"
"169","Kill Bill: Vol. 1","tt0266697","1291580"
"170","Shutter Island","tt1130884","2334904"
"171","Cool Hand Luke","tt0061512","1293698"
"172","Rebecca","tt0032976","1293824"
"173","Tokyo Story","tt0046438","1291568"
"174","Sunrise","tt0018455","1295753"
"175","Hacksaw Ridge","tt2119532","26325320"
"176","Mary and Max","tt0978762","3072124"
"177","How to Train Your Dragon","tt0892769","2353023"
"178","Gone Girl","tt2267998","21318488"
"179","Wild Tales","tt3011894","24750126"
"180","Into the Wild","tt0758758","1905462"
"181","Jurassic Park","tt0107290","1292523"
"182","Life of Brian","tt0079470","1292881"
"183","The Bandit","tt0116231","2066486"
"184","It Happened One Night","tt0025316","1295684"
"185","In the Name of the Father","tt0107207","1297009"
"186","Platoon","tt0091763","1293396"
"187","Stand by Me","tt0092005","1292925"
"188","The Grand Budapest Hotel","tt2278388","11525673"
"189","Network","tt0074958","1297531"
"190","The Truman Show","tt0120382","1292064"
"191","Andrei Rublev","tt0060107","1298248"
"192","Stalker","tt0079944","1295656"
"193","Hotel Rwanda","tt0395169","1291822"
"194","Persona","tt0060827","1294438"
"195","Ben-Hur","tt0052618","1293150"
"196","Rang De Basanti","tt0405508","1889053"
"197","Memories of Murder","tt0353969","1300299"
"198","The Wages of Fear","tt0046268","1299932"
"199","The Passion of Joan of Arc","tt0019254","1293783"
"200","12 Years a Slave","tt2024544","6879185"
"201","Rush","tt1979320","6803494"
"202","Million Dollar Baby","tt0405159","1309016"
"203","Mad Max: Fury Road","tt1392190","3592854"
"204","Before Sunrise","tt0112471","1296339"
"205","The 400 Blows","tt0053198","1300056"
"206","Spotlight","tt1895587","25954475"
"207","Logan","tt3315342","25765735"
"208","Amores Perros","tt0245712","1292216"
"209","Hachi: A Dog's Tale","tt1028532","3011091"
"210","Prisoners","tt1392214","3592859"
"211","The Princess Bride","tt0093779","1297280"
"212","Nausicaä of the Valley of the Wind","tt0087544","1291585"
"213","Butch Cassidy and the Sundance Kid","tt0064115","1297602"
"214","Catch Me If You Can","tt0264464","1305487"
"215","Harry Potter and the Deathly Hallows: Part 2","tt1201607","3011235"
"216","Rocky","tt0075148","1295742"
"217","Barry Lyndon","tt0072684","1292472"
"218","The Maltese Falcon","tt0033870","1297874"
"219","Monsters, Inc.","tt0198781","1291579"
"220","The Grapes of Wrath","tt0032551","1292465"
"221","Blade Runner 2049","tt1856101","10512661"
"222","Donnie Darko","tt0246578","1306662"
"223","Diabolique","tt0046911","1293213"
"224","Gandhi","tt0083987","1292238"
"225","La La Land","tt3783958","25934014"
"226","The Terminator","tt0088247","1300656"
"227","The Nights of Cabiria","tt0050783","1294781"
"228","Dead Poets Society","tt0097165","1291548"
"229","La Haine","tt0113247","1306449"
"230","Groundhog Day","tt0107048","1300613"
"231","The Wizard of Oz","tt0032138","1292625"
"232","Paper Moon","tt0070510","1303357"
"233","Jaws","tt0073195","1294941"
"234","A Wednesday","tt1280558","3245150"
"235","The Help","tt1454029","3792848"
"236","Gangs of Wasseypur","tt1954470","10605729"
"237","In the Mood for Love","tt0118694","1291557"
"238","Before Sunset","tt0381681","1291990"
"239","The Bourne Ultimatum","tt0440963","1578507"
"240","Paris, Texas","tt0087884","1302061"
"241","Tangerines","tt2991224","24869803"
"242","Touch of Evil","tt0052311","1294756"
"243","Guardians of the Galaxy","tt2015381","7065154"
"244","Three Colors: Red","tt0111495","1292047"
"245","PK","tt2338151","10741643"
"246","Lagaan: Once Upon a Time in India","tt0169102","2254631"
"247","Pirates of the Caribbean: The Curse of the Black Pearl","tt0325980","1298070"
"248","Beauty and the Beast","tt0101414","1297995"
"249","Winter Sleep","tt2758880","21770915"
"250","Fanny and Alexander","tt0083922","1292784"
