"rank","title","year","film_id","imdbid","dbid"
"109","Singin' in the Rain","1952","51280","tt0045152","1293460"
"110","Wild Strawberries","1957","51509","tt0050986","1293071"
"111","Mirror","1975","51064","tt0072443","1299248"
"112","Late Spring","1949","38953","tt0041154","1307265"
"113","How to Make Millions Before Grandma Dies","2024","995274","tt31392609","36328210"
"114","Before Sunset","2004","51970","tt0381681","1291990"
"115","Amadeus","1984","51777","tt0086879","1293399"
"116","All That Jazz","1979","41361","tt0078754","1299330"
"117","Still Walking","2008","36328","tt1087578","2222996"
"118","No Country for Old Men","2007","48140","tt0477348","1857099"
"119","Before Sunrise","1995","51974","tt0112471","1296339"
"120","Brief Encounter","1945","51301","tt0037558","1294364"
"121","Z","1969","50133","tt0065234","1299026"
"122","The Great Dictator","1940","51238","tt0032553","1295646"
"123","To Be or Not to Be","1942","51854","tt0035446","1303418"
"124","Psycho","1960","51578","tt0054215","1293181"
"125","The Departed","2006","51042","tt0407887","1315316"
"126","Taste of Cherry","1997","32345","tt0120265","1296177"
"127","The Young Girls of Rochefort","1967","50258","tt0062873","1301648"
"128","Monster","2023","947030","tt23736044",""
"129","Funeral Parade of Roses","1969","50978","tt0064068","1449471"
"130","Mommy","2014","188421","tt3612616","25745651"
"131","The 400 Blows","1959","51904","tt0053198","1300056"
"132","Raise the Red Lantern","1991","46262","tt0101640","1293323"
"133","Tampopo","1985","44970","tt0092048","1294009"
"134","Dog Day Afternoon","1975","51195","tt0072890","1293374"
"135","Pather Panchali","1955","48649","tt0048473","1306019"
"136","Central Station","1998","51458","tt0140888","1292218"
"137","Werckmeister Harmonies","2000","37507","tt0249241","1416898"
"138","Wings of Desire","1987","51907","tt0093191","1292504"
"139","M","1931","51320","tt0022100","1293381"
"140","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","51218","tt0057012","1322848"
"141","Yojimbo","1961","44925","tt0055630","1292515"
"142","A Special Day","1977","22842","tt0076085","1293395"
"143","Rocco and His Brothers","1960","47738","tt0054248","1303558"
"144","Prisoners","2013","110740","tt1392214","3592859"
"145","Bicycle Thieves","1948","48930","tt0040522","1295873"
"146","Das Boot","1981","51702","tt0082096","1293909"
"147","Shoplifters","2018","435129","tt8075192","27622447"
"148","Children of Men","2006","46911","tt0206634","1478064"
"149","Dead Poets Society","1989","51846","tt0097165","1291548"
"150","The Sacrifice","1986","36618","tt0091670","1294531"
"151","The Celebration","1998","51750","tt0154420","1292908"
"152","Chinatown","1974","51323","tt0071315","1293889"
"153","8½","1963","51673","tt0056801","1361276"
"154","Django Unchained","2012","52516","tt1853728","6307447"
"155","Judgment at Nuremberg","1961","51331","tt0055031","1292589"
"156","Perfect Days","2023","879229","tt27503384","35902857"
"157","Chungking Express","1994","45602","tt0109424","1291999"
"158","The Treasure of the Sierra Madre","1948","49881","tt0040897","1292516"
"159","The Father","2020","527671","tt10272386","33432655"
"160","Terminator 2: Judgment Day","1991","51776","tt0103064","1291844"
"161","The Hunt","2012","84051","tt2106476","6985810"
"162","La Notte","1961","23950","tt0054130","1361252"
"163","The Lives of Others","2006","51538","tt0405094","1900841"
"164","Fantastic Mr. Fox","2009","46344","tt0432283","1759386"
"165","Underground","1995","44904","tt0114787","1292206"
"166","2001: A Space Odyssey","1968","51987","tt0062622","1292226"
"167","Everything Everywhere All at Once","2022","474474","tt6710474","30314848"
"168","Opening Night","1977","29625","tt0079672","1292768"
"169","Akira","1988","51902","tt0094625","1302770"
"170","Heat","1995","51994","tt0113277","1295686"
"171","Nostalgia","1983","51065","tt0086022","1291556"
"172","La Dolce Vita","1960","51656","tt0053779","1293271"
"173","Throne of Blood","1957","49597","tt0050613","1294827"
"174","Casablanca","1942","51770","tt0034583","1296753"
"175","Sing Sing","2023","1041957","tt28479262",""
"176","Look Back","2024","1127669","tt31711040","36765646"
"177","Evangelion: 3.0+1.0 Thrice Upon a Time","2021","208877","tt2458948","10428501"
"178","Children of Paradise","1945","50239","tt0037674","1300375"
"179","Fight Club","1999","51568","tt0137523","1292000"
"180","The Man Who Shot Liberty Valance","1962","45057","tt0056217","1295134"
"181","Modern Times","1936","49889","tt0027977","1294371"
"182","The Cremator","1969","40415","tt0063633","1486017"
"183","Swing Girls","2004","27776","tt0435434","1361254"
"184","Network","1976","45909","tt0074958","1297531"
"185","Secrets & Lies","1996","45549","tt0117589","1294477"
"186","The Elephant Man","1980","50653","tt0080678","1293200"
"187","The Night of the Hunter","1955","49860","tt0048424","1293582"
"188","Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles","1975","21149","tt0073198","1868933"
"189","Double Indemnity","1944","51173","tt0036775","1293226"
"190","Samurai Rebellion","1967","55888","tt0061847","1300738"
"191","Alien","1979","51714","tt0078748","1300868"
"192","Dersu Uzala","1975","46846","tt0071411","1300034"
"193","Ace in the Hole","1951","36117","tt0043338","1293841"
"194","Who's Afraid of Virginia Woolf?","1966","51694","tt0061184","1295137"
"195","Ugetsu","1953","42884","tt0046478","1303577"
"196","The Iron Giant","1999","46280","tt0129167","1293863"
"197","Some Like It Hot","1959","51817","tt0053291","1292574"
"198","Cure","1997","28195","tt0123948","1304665"
"199","Pulp Fiction","1994","51444","tt0110912","1291832"
"200","Mulholland Drive","2001","51171","tt0166924","1292217"
"201","Life, and Nothing More…","1992","70210","tt0105888","1303471"
"202","Metropolis","1927","2698","tt0017136","1298107"
"203","Rififi","1955","51219","tt0048021","1299885"
"204","The Third Man","1949","51154","tt0041959","1295451"
"205","Mary and Max","2009","36917","tt0978762","3072124"
"206","The Prestige","2006","51147","tt0482571","1780330"
"207","The Tale of The Princess Kaguya","2013","112956","tt2576852","4099231"
"208","A Matter of Life and Death","1946","33869","tt0038733","1299411"
"209","Ritual","2000","25588","tt0269856","1307322"
"210","Winter Light","1963","32847","tt0057358","1296792"
"211","Eternal Sunshine of the Spotless Mind","2004","2683","tt0338013","1308777"
"212","Sorcerer","1977","25650","tt0076740","1299812"
"213","Umberto D.","1952","51319","tt0045274","1296097"
"214","The Green Mile","1999","51613","tt0120689","1300374"
"215","Sweet Smell of Success","1957","51193","tt0051036","1302808"
"216","Saving Private Ryan","1998","51295","tt0120815","1292849"
"217","Twin Peaks: Fire Walk with Me","1992","50682","tt0105665","1303472"
"218","Aparajito","1956","51255","tt0048956","1306559"
"219","The Grand Budapest Hotel","2014","95113","tt2278388","11525673"
"220","Marcel the Shell with Shoes On","2021","781326","tt15339456","35588343"
"221","The First Slam Dunk","2022","702355","tt15242330","35315950"
"222","Malcolm X","1992","50720","tt0104797","1292681"
"223","Napoleon","1927","22547","tt0018192","1401756"
"224","Raging Bull","1980","50956","tt0081398","1293155"
"225","The King of Comedy","1982","51794","tt0085794","1292772"
"226","The Bridge on the River Kwai","1957","51326","tt0050212","1294958"
"227","The Holdovers","2023","755564","tt14849194","35496212"
"228","Solaris","1972","51528","tt0069293","1300977"
"229","Anatomy of a Murder","1959","51957","tt0052561","1293177"
