"spine","title","year","ccid","dbid"
"0518","Yggdrasill: Whose Roots Are Stars in the Human Mind","1997","23953","5135188"
"0518","Reel Five","1999","23953","5148546"
"0518","Persian Series #1","1999","23953","1919385"
"0518","Persian Series #2","1999","23953","1919386"
"0518","Persian Series #3","1999","23953","1919387"
"0518","Chinese Series","2003","23953","4149735"
"0519","Close-up","1990","1092","1303521"
"0520","Everlasting Moments","2008","21118","3154392"
"0521","Mystery Train","1989","2057","1296534"
"0522","Red Desert","1964","1454","1299261"
"0523","Night Train to Munich","1940","25039","1882019"
"0525","The Only Son","1936","2606","1308311"
"0526","There Was a Father","1942","22839","1304405"
"0527","The Secret of the Grain","2007","1344","2156069"
"0529","Underworld","1927","21766","1303347"
"0530","The Last Command","1928","6721","1292539"
"0531","The Docks of New York","1928","1942","1855285"
"0532","Louie Bluie","1985","27509","1978934"
"0533","Crumb","1995","2104","1418091"
"0534","L’enfance nue","1968","2337","1427865"
"0535","Merry Christmas Mr. Lawrence","1983","27512","1303535"
"0536","The Thin Red Line","1998","27513","1292781"
"0537","The Magician","1958","27521","1440725"
"0538","Paths of Glory","1957","27522","1292969"
"0539","House","1977","27523","2278795"
"0540","The Darjeeling Limited","2007","27520","1968438"
"0541","The Night of the Hunter","1955","27525","1293582"
"0542","Antichrist","2009","27524","3040418"
"0543","Modern Times","1936","27526","1294371"
"0544","Head","1968","27527","2081630"
"0545","Easy Rider","1969","27528","1297646"
"0546","Five Easy Pieces","1970","27529","1298192"
"0547","Drive, He Said","1970","27530","2055771"
"0548","A Safe Place","1971","27531","5044733"
"0549","The Last Picture Show","1971","27533","1298026"
"0550","The King of Marvin Gardens","1972","27532","1294636"
"0551","Cronos","1993","27534","1306942"
"0552","Broadcast News","1987","27535","1292511"
"0553","Fish Tank","2009","27541","3073875"
"0554","Still Walking","2008","27540","2222996"
"0555","Sweet Smell of Success","1957","27542","1302808"
"0556","Senso","1954","27543","1303572"
"0557","The Times of Harvey Milk","1984","27549","1301132"
"0558","Topsy-Turvy","1999","27550","1293528"
"0559","The Mikado","1939","27551","5071178"
"0560","White Material","2009","27559","2302211"
"0561","Kes","1970","27560","1297920"
"0562","Blow Out","1981","27561","1299027"
"0563","Something Wild","1986","27603","1301827"
"0564","Pale Flower","1964","27604","1424656"
"0565","The Great Dictator","1940","27605","1295646"
"0566","Insignificance","1985","27618","1422189"
"0567","The Makioka Sisters","1983","27619","1299777"
"0568","Kiss Me Deadly","1955","27620","1303569"
"0569","People on Sunday","1930","27625","1940179"
"0570","Zazie dans le métro","1960","27626","1401890"
"0571","Black Moon","1975","27627","1428995"
"0572","Léon Morin, Priest","1961","27660","1466412"
"0573","The Music Room","1958","27657","1440613"
"0574","Life During Wartime","2010","27659","3198335"
"0575","The Killing","1956","27751","1293936"
"0576","Secret Sunshine","2007","27750","1853770"
"0577","Cul-de-sac","1966","27658","1316647"
"0578","À propos de Nice","1930","27752","1401909"
"0578","Taris, roi de l'eau","1930","27752","1401910"
"0578","Zéro de conduite","1933","27757","1294518"
"0578","L’Atalante","1934","27758","1299433"
"0579","The Phantom Carriage","1921","27630","1465471"
"0580","Le beau Serge","1958","27817","1429139"
"0581","Les cousins","1959","27816","1298254"
"0582","Carlos","2010","27818","3283192"
"0583","The Four Feathers","1939","27555","1294027"
"0584","Kuroneko","1968","27628","1472301"
"0585","Identification of a Woman","1982","27629","1358418"
"0586","Island of Lost Souls","1932","27861","1304791"
"0588","Three Colors: Blue","1993","27731","1292048"
"0589","Three Colors: White","1994","27732","1292049"
"0590","Three Colors: Red","1994","27733","1292047"
"0591","12 Angry Men","1957","27871","1293182"
"0592","Design for Living","1933","27872","1775077"
"0593","Belle de jour","1967","27949","1301649"
"0594","Godzilla","1954","27755","2059276"
"0595","The Moment of Truth","1965","27674","2241840"
"0596","Three Outlaw Samurai","1964","27734","1301212"
"0597","Tiny Furniture","2010","28317","5158678"
"0598","World on a Wire","1973","27742","3228134"
"0599","Vanya on 42nd Street","1994","28022","1306194"
"0600","Anatomy of a Murder","1959","27901","1293177"
"0601","Letter Never Sent","1959","27673","1297791"
"0602","The War Room","1993","28029","1295882"
"0604","In Which We Serve","1942","28185","1292815"
"0605","This Happy Breed","1944","28144","1298449"
"0606","Blithe Spirit","1945","28156","1293057"
"0607","Manual of Arms","1966","27945","10461810"
"0607","Process Red","1966","27945","10461811"
"0607","Maxwell's Demon","1968","27945","1972699"
"0607","Surface Tension","1968","27945","1972647"
"0607","Carrots & Peas","1969","27945","10448897"
"0607","Lemon","1969","27945","1722765"
"0607","Zorn's Lemma","1970","27945","1722722"
"0607","Hapax Legomena I: Nostalgia","1971","27945","1477510"
"0607","Hapax Legomena II: Poetic Justice","1972","27945","1722577"
"0607","Hapax Legomena III: Critical Mass","1971","27945","1972677"
"0607","The Birth of Magellan: Cadenza I","1977","27945","10461821"
"0607","Pan 0","1974","27945","10461800"
"0607","Pan 1","1974","27945","10461801"
"0607","Pan 2","1974","27945","10461802"
"0607","Pan 3","1974","27945","10461803"
"0607","Pan 4","1974","27945","10461804"
"0607","Pan 697","1974","27945","10461806"
"0607","Pan 698","1974","27945","10461807"
"0607","Pan 699","1974","27945","10461808"
"0607","Pan 700","1974","27945","10461809"
"0607","Ingenivm Nobis Ipsa Pvella Fecit: Part I","1975","27945","10461819"
"0607","Magellan: At the Gates of Death, Part I: The Red Gate I, 0","1976","27945","10461820"
"0607","Winter Solstice","1974","27945","10461817"
"0607","Gloria!","1979","27945","10461822"
"0608","Harold and Maude","1971","27896","1292812"
"0609","¡Alambrista!","1977","28101","2295398"
"0610","The Organizer","1963","27612","2135922"
"0611","Being John Malkovich","1999","28055","1292279"
"0612","Certified Copy","2010","28353","2973543"
"0613","Summer Interlude","1951","27782","1295389"
"0614","Summer with Monika","1953","27638","1299536"
"0615","The Gold Rush","1942","27565","1298817"
"0616","Shallow Grave","1994","27981","1296718"
"0617","And Everything Is Going Fine","2010","27874","3071211"
"0618","Gray’s Anatomy","1997","28351","2051015"
"0619","Le Havre","2011","28352","4030657"
"0620","La promesse","1996","28073","1299067"
"0621","Rosetta","1999","28056","1300820"
"0622","Weekend","2011","27783","6024430"
"0623","Lonesome","1928","28212","1827659"
"0624","Quadrophenia","1979","27775","1452648"
"0625","Eating Raoul","1982","27767","2051943"
"0626","Les visiteurs du soir","1942","27685","1470768"
"0627","The Game","1997","28058","1296384"
"0628","The Forgiveness of Blood","2011","28379","5937923"
"0629","Sunday Bloody Sunday","1971","28025","1294730"
"0630","Rosemary’s Baby","1968","27927","1293852"
"0632","The Decameron","1971","28105","1299990"
"0633","The Canterbury Tales","1972","28106","1303731"
"0634","Arabian Nights","1974","28374","1294654"
"0635","Weekend","1967","28441","1296338"
"0636","Heaven’s Gate","1980","28036","1295905"
"0637","Purple Noon","1960","27810","1305080"
"0638","Following","1999","28030","1397546"
"0640","Koyaanisqatsi","1983","28034","1298202"
"0641","Powaqqatsi","1988","28033","1307260"
"0642","Naqoyqatsi","2002","28418","1305549"
"0643","The Man Who Knew Too Much","1934","27999","1297253"
"0644","Pina","2011","28404","3742993"
"0645","The Ballad of Narayama","1958","28240","1294737"
"0646","The Kid with a Bike","2011","28405","5972040"
"0647","On the Waterfront","1954","27899","1292521"
"0648","Chronicle of a Summer","1961","28394","1421292"
"0649","Ministry of Fear","1944","28065","1294384"
"0650","A Man Escaped","1956","27848","1303562"
"0651","Badlands","1973","28406","1297422"
"0652","Monsieur Verdoux","1947","27574","1294047"
"0653","Gate of Hell","1953","28199","1295914"
"0654","Repo Man","1984","28051","1304697"
"0655","The Suitor","1963","28395","4096051"
"0655","Yoyo","1965","28454","1963110"
"0655","As Long as You’ve Got Your Health","1966","28399","4901928"
"0655","Le grand amour","1969","28398","4230745"
"0655","Land of Milk and Honey","1971","28397","4901927"
"0656","Jubal","1956","28492","3620526"
"0657","3:10 to Yuma","1957","27910","1296962"
"0658","Medium Cool","1969","28426","1304516"
"0659","Life Is Sweet","1990","27982","1297313"
"0660","Things to Come","1936","27552","1293166"
"0661","Marketa Lazarová","1967","27876","1306847"
"0662","Safety Last!","1923","28446","1303388"
"0663","Shoah","1985","27968","1303328"
"0664","The Life of Oharu","1952","27705","1303603"
"0665","Babette’s Feast","1987","27894","1292278"
"0666","The Devil’s Backbone","2001","27914","1304044"
"0667","Seconds","1966","28428","1294877"
"0668","The Big City","1963","28448","1296310"
"0669","Charulata","1964","28447","1468782"
"0670","To Be or Not to Be","1942","27690","1303418"
"0671","La Cage aux Folles","1978","28045","1292791"
"0673","Stromboli","1950","28082","1294382"
"0674","Europe ’51","1952","28108","1293321"
"0675","Journey to Italy","1954","28081","1303576"
"0676","I Married a Witch","1942","27771","1439542"
"0677","The Uninvited","1944","27964","1293857"
"0678","La notte","1961","28111","1361252"
"0679","The Tale of Zatoichi","1962","28300","1303393"
"0679","The Tale of Zatoichi Continues","1962","28301","2144151"
"0679","New Tale of Zatoichi","1963","28302","3112632"
"0679","Zatoichi the Fugitive","1963","28303","2142133"
"0679","Zatoichi on the Road","1963","28304","2142142"
"0679","Zatoichi and the Chest of Gold","1964","28305","2058562"
"0679","Zatoichi's Flashing Sword","1964","28306","3112590"
"0679","Fight, Zatoichi, Fight","1964","28307","3112571"
"0679","Adventures of Zatoichi","1964","28308","3112596"
"0679","Zatoichi's Revenge","1965","28309","3112617"
"0679","Zatoichi and the Doomed Man","1965","28310","3112614"
"0679","Zatoichi and the Chess Expert","1965","28311","1303841"
"0679","Zatoichi's Vengeance","1966","28312","3112620"
"0679","Zatoichi's Pilgrimage","1966","28318","3112622"
"0679","Zatoichi's Cane Sword","1967","28313","3112637"
"0679","Zatoichi the Outlaw","1967","28583","1299332"
"0679","Zatoichi Challenged","1967","28314","1306898"
"0679","Zatoichi and the Fugitives","1968","28315","3112638"
"0679","Samaritan Zatoichi","1968","28316","3098785"
"0679","Zatoichi Meets Yojimbo","1970","28582","1308474"
"0679","Zatoichi Goes to the Fire Festival","1970","28584","1307629"
"0679","Zatoichi Meets the One-Armed Swordsman","1971","28585","1308572"
"0679","Zatoichi at Large","1972","28586","1307670"
"0679","Zatoichi in Desperation","1972","28587","1307157"
"0679","Zatoichi’s Conspiracy","1973","28588","1308568"
"0680","City Lights","1931","27558","1293908"
"0681","Frances Ha","2013","28560","11527487"
"0682","Investigation of a Citizen Above Suspicion","1970","27911","1303078"
"0683","Nashville","1975","28427","1293037"
"0685","Touki bouki","1973","28412","1424576"
"0686","Redes","1936","28408","3162784"
"0687","A River Called Titas","1973","28411","1782378"
"0688","Dry Summer","1964","28410","1299807"
"0689","Trances","1981","28413","4005490"
"0690","The Housemaid","1960","28409","1401523"
"0691","Thief","1981","28024","1292887"
"0692","It’s a Mad, Mad, Mad, Mad World","1963","28579","1293508"
"0693","La vie de bohème","1992","28086","1299877"
"0694","The Long Day Closes","1992","27984","2042560"
"0695","Blue Is the Warmest Color","2013","28603","10535568"
"0696","Foreign Correspondent","1940","27692","1295082"
"0697","Tess","1979","28594","1291872"
"0698","King of the Hill","1993","27965","1299830"
"0699","A Brief History of Time","1991","28559","1422895"
"0700","Fantastic Mr. Fox","2009","28565","1759386"
"0701","Persona","1966","28491","1294438"
"0702","The Great Beauty","2013","28604","10760030"
"0703","The Freshman","1925","28510","1303409"
"0704","Riot in Cell Block 11","1954","28551","4250015"
"0705","Breaking the Waves","1996","28350","1292468"
"0706","Master of the House","1925","27804","1506869"
"0707","Il sorpasso","1962","28429","1979027"
"0708","Like Someone in Love","2012","28616","5995338"
"0709","Red River","1948","28046","1292565"
"0710","Judex","1963","28047","1476649"
"0711","A Hard Day’s Night","1964","28547","1298566"
"0712","Scanners","1981","28043","1302481"
"0714","Lola","1961","27932","1471815"
"0715","Bay of Angels","1963","27935","1401908"
"0716","The Umbrellas of Cherbourg","1964","27933","1301646"
"0717","The Young Girls of Rochefort","1967","28615","1301648"
"0718","Donkey Skin","1970","28605","1301656"
"0719","Une chambre en ville","1982","27936","2969886"
"0720","The Big Chill","1983","28610","1293796"
"0721","Love Streams","1984","28032","1303532"
"0722","Tie Me Up! Tie Me Down!","1990","28593","1294315"
"0723","Y tu mamá también","2001","28005","1303333"
"0724","All That Jazz","1979","28561","1299330"
"0725","Eraserhead","1977","28382","1293925"
"0726","Macbeth","1971","28020","1437096"
"0727","The Innocents","1961","28569","1294825"
"0728","Sundays and Cybèle","1962","27912","1303087"
"0730","Jour de fête","1949","28114","1424620"
"0731","Parade","1974","28123","2007353"
"0732","My Darling Clementine","1946","28570","1299733"
"0733","La dolce vita","1960","28619","1293271"
"0734","The Shooting","1966","28580","1300812"
"0735","Ride in the Whirlwind","1966","28581","1958466"
"0736","It Happened One Night","1934","27900","1295684"
"0737","The Blues Accordin To Lightnin' Hopkins","1970","28658","4822448"
"0737","God Respects Us When We Work, But Loves Us When We Dance","1968","28658","5155829"
"0737","Spend It All","1972","28658","3440067"
"0737","A Well Spent Life","1972","28658","3440084"
"0737","Dry Wood","1973","28658","25959651"
"0737","Hot Pepper","1973","28658","25959652"
"0737","Always for Pleasure","1978","28658","4248264"
"0737","Garlic Is As Good As Ten Mothers","1980","28658","4317396"
"0737","Sprout Wings and Fly","1983","28658","25959658"
"0737","In Heaven There Is No Beer?","1984","28658","25710942"
"0737","Gap-Toothed Women","1987","28658","2216937"
"0737","Yum, Yum, Yum! A Taste of Cajun and Creole Cooking","1990","28658","5114163"
"0737","The Maestro: King of the Cowboy Artists","1995","28658","5115865"
"0737","Sworn to the Drum: A Tribute to Francisco Aguabella","1995","28658","5110446"
"0738","Tootsie","1982","28609","1297737"
"0739","Safe","1995","28548","1308422"
"0740","The Bitter Tears of Petra von Kant","1972","27953","1293230"
"0741","My Winnipeg","2007","27969","2285468"
"0742","The Palm Beach Story","1942","28103","1303417"
"0743","La Ciénaga","2001","28113","1420225"
"0744","Every Man for Himself","1980","28549","1401513"
"0745","Don't Look Now","1973","27928","1302294"
"0746","A Day in the Country","1936","28072","1401585"
"0747","Fellini Satyricon","1969","28038","1293358"
"0748","Watership Down","1978","28620","1296344"
"0749","The Soft Skin","1964","27640","1297046"
"0750","Ride the Pink Horse","1947","28066","1299470"
"0751","Gates of Heaven","1978","28354","1300179"
"0752","Vernon, Florida","1981","28356","1434179"
"0753","The Thin Blue Line","1988","28355","1296388"
"0754","Odd Man Out","1947","28173","1300356"
"0755","Le silence de la mer","1949","27979","1466403"
"0756","Limelight","1952","27557","1296659"
"0757","The Rose","1979","28572","1297146"
"0758","The Merchant of Four Seasons","1971","27960","1298863"
"0759","The Confession","1970","27873","1300652"
"0760","State of Siege","1972","28048","1304076"
"0761","Valerie and Her Week of Wonders","1970","27860","1437094"
"0762","A Master Builder","2014","28646","10749941"
"0763","The  Bridge","1959","27972","1439859"
"0764","The Fisher King","1991","28719","1292909"
"0765","The Black Stallion","1979","28685","1303287"
"0766","Here Is Your Life","1966","28552","2245845"
"0767","My Beautiful Laundrette","1985","28044","1296660"
"0768","The French Lieutenant’s Woman","1981","28037","1293603"
"0769","Day for Night","1973","28698","1293299"
"0770","Dressed to Kill","1980","28686","1299967"
"0771","Two Days, One Night","2014","28720","21624974"
"0772","Blind Chance","1981","28555","1307200"
"0773","Breaker Morant","1980","27766","1294778"
"0774","Mister Johnson","1990","28102","1296953"
"0775","A Room with a View","1986","28597","1293926"
"0776","Moonrise Kingdom","2012","28757","5360889"
"0777","The Brood","1979","28439","1305914"
"0778","A Special Day","1977","28659","1293395"
"0779","Mulholland Dr.","2001","28050","1292217"
"0780","Code Unknown","2000","28738","1296949"
"0781","In Cold Blood","1967","28788","1428166"
"0782","Pather Panchali","1955","28021","1306019"
"0782","Aparajito","1956","28443","1306559"
"0782","Apur Sansar","1959","27905","1295720"
"0783","Pather Panchali","1955","28021","1306019"
"0784","Aparajito","1956","28443","1306559"
"0785","Apur Sansar","1959","27905","1295720"
"0786","Dont Look Back","1967","28655","1305223"
"0787","Jellyfish Eyes","2013","28759","6814974"
"0788","Speedy","1928","28497","2023804"
"0789","Burroughs: The Movie","1983","28657","25892352"
"0790","Lady Snowblood","1973","28589","1440347"
"0791","Lady Snowblood: Love Song of Vengeance","1974","28590","1751654"
"0792","Bitter Rice","1949","27805","1441385"
"0793","The American Friend","1977","28763","1297511"
"0794","Inside Llewyn Davis","2013","28721","6887029"
"0795","Gilda","1946","27909","1301978"
"0796","The Emigrants","1971","28701","1295184"
"0797","The New Land","1972","28702","1471664"
"0798","Death by Hanging","1968","28360","1302766"
"0799","The Kid","1921","27566","1293270"
"0800","The Graduate","1967","28578","1292271"
"0801","I Knew Her Well","1965","28600","2294897"
"0802","Paris Belongs to Us","1961","27724","1477853"
"0803","The Manchurian Candidate","1962","28784","1293840"
"0804","A Brighter Summer Day","1991","28596","1292329"
"0805","A Poem Is a Naked Person","1974","28755","26301718"
"0806","Only Angels Have Wings","1939","28831","1300712"
"0807","Barcelona","1994","28691","1295556"
"0808","Primary","1960","28907","1941752"
"0808","Adventures on the New Frontier","1961","28907","26709364"
"0808","Crisis: Behind a Presidential Commitment","1963","28907","4110339"
"0808","Faces of November","1964","28907","4219887"
"0809","Phoenix","2014","28851","22637441"
"0810","In a Lonely Place","1950","27908","1302923"
"0811","The Naked Island","1960","27774","1303710"
"0812","The Player","1992","28835","1294726"
"0814","Alice in the Cities","1974","27717","1293306"
"0815","Wrong Move","1975","28768","1297813"
"0816","Kings of the Road","1976","28762","1437023"
"0817","Le amiche","1955","28632","1292958"
"0818","La chienne","1931","28393","1306486"
"0819","Here Comes Mr. Jordan","1941","27902","1297648"
"0820","Fantastic Planet","1973","28636","1291989"
"0821","Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb","1964","28822","1322848"
"0822","Clouds of Sils Maria","2014","28748","19976774"
"0823","The In-Laws","1979","28707","1296375"
"0824","Muriel, or The Time of Return","1963","28635","1293844"
"0825","A Touch of Zen","1971","28791","1306490"
"0826","The New World","2005","28713","1419942"
"0827","McCabe & Mrs. Miller","1971","28712","1293950"
"0828","Ingrid Bergman: In Her Own Words","2015","28910","26366455"
"0829","A Taste of Honey","1961","28734","1294664"
"0830","Chimes at Midnight","1966","28756","1422308"
"0831","The Immortal Story","1968","27672","2068301"
"0832","The Story of the Last Chrysanthemum","1939","27729","1293329"
"0833","Cat People","1942","28696","1306489"
"0834","Blood Simple","1984","28852","1302542"
"0835","Valley of the Dolls","1967","28577","1300839"
"0836","Beyond the Valley of the Dolls","1970","28120","1298861"
"0837","Dekalog","1988","28661","1301252"
"0838","Pan’s Labyrinth","2006","28948","1767042"
"0839","Boyhood","2014","28820","2209575"
"0840","The Executioner","1963","28980","1485059"
"0841","Lone Wolf and Cub: Sword of Vengeance","1972","28722","1308595"
"0841","Lone Wolf and Cub: Baby Cart at the River Styx","1972","28723","1307278"
"0841","Lone Wolf and Cub: Baby Cart to Hades","1972","28724","1308028"
"0841","Lone Wolf and Cub: Baby Cart in Peril","1972","28725","1905271"
"0841","Lone Wolf and Cub: Baby Cart in the Land of Demons","1973","28726","1308152"
"0841","Lone Wolf and Cub: White Heaven in Hell","1974","28727","1905275"
"0842","Akira Kurosawa’s Dreams","1990","28700","1299112"
"0843","Punch-Drunk Love","2002","27916","1300211"
"0844","One-Eyed Jacks","1961","28979","1299915"
"0845","The Squid and the Whale","2005","28830","1437377"
"0846","Heart of a Dog","2015","28909","26581349"
"0847","The Asphalt Jungle","1950","28690","1298894"
"0848","Roma","1972","28039","1302815"
"0849","His Girl Friday","1940","27903","1299231"
"0850","Something Wild","1961","28777","3550314"
"0851","Fox and His Friends","1975","27957","1437326"
"0852","Black Girl","1966","28849","2060678"
"0853","Cameraperson","2016","29003","26722604"
"0854","The Tree of Wooden Clogs","1978","28599","1306266"
"0855","Women on the Verge of a Nervous Breakdown","1988","29101","1300952"
"0856","Before Sunrise","1995","28692","1296339"
"0856","Before Sunset","2004","28693","1291990"
"0856","Before Midnight","2013","28828","10808442"
"0857","Before Sunrise","1995","28692","1296339"
"0858","Before Sunset","2004","28693","1291990"
"0859","Before Midnight","2013","28828","10808442"
"0860","Mildred Pierce","1945","29025","1297227"
"0861","45 Years","2015","28908","25839662"
"0862","Canoa: A Shameful Memory","1976","29050","1301373"
"0863","Multiple Maniacs","1970","28954","2073741"
"0864","Being There","1979","29009","1293256"
"0865","Blow-Up","1966","28694","1310176"
"0866","Buena Vista Social Club","1999","28792","1291857"
"0867","Woman of the Year","1942","29137","1294127"
"0868","Tampopo","1985","28880","1294009"
"0869","Rumble Fish","1983","28993","1297347"
"0870","Othello","1952","28621","1296289"
"0871","Dheepan","2015","29103","26295860"
"0872","Ghost World","2001","28687","1304868"
"0873","Taipei Story","1985","29110","1305327"
"0874","Insiang","1976","29099","3752627"
"0875","Mysterious Object at Noon","2000","29098","1307886"
"0876","Revenge","1989","29208","5115762"
"0877","Limite","1931","28407","1925767"
"0878","Law of the Border","1966","28415","3875178"
"0879","Taipei Story","1985","29110","1305327"
"0880","They Live by Night","1948","28717","1298951"
"0881","Marius","1931","28857","1466146"
"0881","Fanny","1932","28858","1297159"
"0881","César","1936","28859","1466149"
"0882","Marius","1931","28857","1466146"
"0883","Fanny","1932","28858","1297159"
"0884","César","1936","28859","1466149"
"0885","The Lodger: A Story of the London Fog","1927","28001","1867801"
"0886","L’argent","1983","27588","1303536"
"0887","Lost in America","1985","29022","1303427"
"0888","Stalker","1979","28150","1295656"
"0889","The Breaking Point","1950","28695","1294203"
"0890","Meantime","1984","28805","1758606"
"0891","La poison","1951","28637","2225022"
"0892","Festival","1967","28889","1861859"
"0893","Certain Women","2016","29212","26341593"
"0894","The Piano Teacher","2001","28739","1306730"
"0895","David Lynch: The Art Life","2016","29285","5041579"
"0896","The Lure","2015","29061","26679181"
"0897","Barry Lyndon","1975","29008","1292472"
"0898","Twin Peaks: Fire Walk with Me","1992","29237","1303472"
"0899","Personal Shopper","2016","29252","26390938"
"0900","The Olympic Games Held at Chamonix in 1924","1925","29360","27123695"
"0900","The Olympic Games as They Were Practiced in Ancient Greece","1924","29360","27170768"
"0900","Les Jeux Olympiques, Paris 1924","1925","29360","25747971"
"0900","Das weiße Stadion","1928","29360","24842935"
"0900","De olympische spelen","1928","29360","5141341"
"0900","Jugend der Welt. Der Film von den IV. Olympischen Winterspielen in Garmisch-Partenkirchen","1936","29360","3532506"
"0900","Olympia 1. Teil - Fest der Völker","1938","29360","1297424"
"0900","Olympia 2. Teil - Fest der Schönheit","1938","29360","1299633"
"0900","Olimpiada en México","1969","29360","2995423"
"0900","Saporro Winter Olympic Games","1972","29360","5055146"
"0900","Visions of Eight","1973","29360","1298851"
"0900","Oh Sports, You Are Peace!","1981","29360","24842936"
"0900","16 Days of Glory","1986","29360","5048345"
"0900","Calgary '88: 16 Days of Glory","1989","29360","5115360"
"0900","Marathon","1992","29360","3071119"
"0900","Atlanta's Olympic Glory","1997","29360","5109763"
"0900","Salt Lake 2002: Stories of Olympic Glory","2003","29360","5227810"
"0900","Bud Greenspan Presents: Torino 2006 Olympics","2007","29360","5179269"
"0900","The Everlasting Flame: Beijing 2008","2009","29360","4016665"
"0900","The Official Film of the London 2012 Olympic Games","2012","29360","25747883"
"0901","The Philadelphia Story","1940","29029","1292840"
"0902","Desert Hearts","1985","29139","1306457"
"0903","Jabberwocky","1977","29266","1757729"
"0904","Election","1999","29335","1296829"
"0905","The Breakfast Club","1985","29272","1295728"
"0906","I, Daniel Blake","2016","29357","26653676"
"0907","Westfront 1918","1930","28137","1421467"
"0908","Kameradschaft","1931","28184","1986864"
"0909","Night of the Living Dead","1968","29331","1297996"
"0910","Tom Jones","1963","28736","1292591"
"0911","The Hero","1966","28449","5225657"
"0912","An Actor’s Revenge","1963","28899","1297019"
"0913","The Age of Innocence","1993","28834","1301465"
"0914","Baal","1970","29060","24882609"
"0915","King of Jazz","1930","29389","1304324"
"0916","Women in Love","1969","28688","1292464"
"0917","The Awful Truth","1937","27904","1297918"
"0918","The Color of Pomegranates","1969","29219","1303542"
"0919","Dead Man","1995","29064","1303462"
"0920","The Virgin Suicides","1999","29336","1297894"
"0921","Moonrise","1948","28550","2969711"
"0922","The Other Side of Hope","2017","29253","26678509"
"0923","Beyond the Hills","2012","28618","10521893"
"0924","Graduation","2016","29414","26340305"
"0925","Midnight Cowboy","1969","29369","1297628"
"0926","Manila in the Claws of Light","1975","29221","3155872"
"0927","El Sur","1983","27745","1477717"
"0928","Bowling for Columbine","2002","28785","1297112"
"0929","Female Trouble","1974","28704","1304866"
"0930","Morocco","1930","28991","1295600"
"0930","Dishonored","1931","28984","1467192"
"0930","Shanghai Express","1932","28166","1293996"
"0930","Blonde Venus","1932","28981","1303774"
"0930","The Scarlet Empress","1934","431","1298465"
"0930","The Devil Is a Woman","1935","28983","1294983"
"0931","Morocco","1930","28991","1295600"
"0932","Dishonored","1931","28984","1467192"
"0933","Shanghai Express","1932","28166","1293996"
"0934","Blonde Venus","1932","28981","1303774"
"0935","The Devil Is a Woman","1935","28983","1294983"
"0936","Bull Durham","1988","29143","1299747"
"0937","Dragon Inn","1967","28790","1459054"
"0938","sex, lies, and videotape","1989","28832","1292341"
"0939","A Matter of Life and Death","1946","28833","1299411"
"0940","The Ballad of Gregorio Cortez","1982","29142","5050536"
"0941","Smithereens","1982","29044","1433167"
"0942","The Tree of Life","2011","28576","2336735"
"0943","Memories of Underdevelopment","1968","29220","1484154"
"0944","Cold Water","1994","29385","21334537"
"0945","A Raisin in the Sun","1961","28826","1294576"
"0946","Eight Hours Don’t Make a Day","1972","29400","1783003"
"0947","Shampoo","1975","28821","1303349"
"0948","The Princess Bride","1987","29368","1297280"
"0949","A Story from Chikamatsu","1954","28160","1303600"
"0950","Some Like It Hot","1959","29162","1292574"
"0951","True Stories","1986","29038","1307564"
"0952","The Magnificent Ambersons","1942","28711","1299214"
"0953","A Dry White Season","1989","29148","1301523"
"0954","Forty Guns","1957","28567","1779544"
"0955","Panique","1946","29510","2241863"
"0956","24 Frames","2017","29399","26872545"
"0957","Mikey and Nicky","1976","27895","1855308"
"0958","4 Months, 3 Weeks and 2 Days","2007","28617","2078989"
"0959","In the Heat of the Night","1967","29459","1295480"
"0960","La vérité","1960","27913","1768303"
"0961","Shame","1968","28877","1293677"
"0962","Death in Venice","1971","28699","1300912"
"0963","To Sleep with Anger","1990","29567","1304256"
"0964","The Kid Brother","1927","28499","1307307"
"0965","Wanda","1970","29450","1855338"
"0966","Detour","1945","29614","1296600"
"0967","I Wanna Hold Your Hand","1978","29000","1302783"
"0968","Japón","2002","28770","1476677"
"0969","Diamonds of the Night","1964","29375","1793762"
"0970","A Face in the Crowd","1957","28703","1301907"
"0971","Police Story","1985","29544","1400868"
"0972","Police Story 2","1988","29545","1304726"
"0973","My Brilliant Career","1979","29065","1305274"
"0974","The Heiress","1949","28986","1293001"
"0975","Funny Games","1997","28836","1306548"
"0976","Let the Sunshine In","2017","29618","26836810"
"0977","Blue Velvet","1986","29144","1298697"
"0978","One Sings, the Other Doesn’t","1977","29436","1297403"
"0979","Swing Time","1936","29037","1306624"
"0980","La vie de Jésus","1997","28075","1293151"
"0981","L’humanité","1999","28074","1304869"
"0982","Hedwig and the Angry Inch","2001","29018","1301926"
"0983","War and Peace","1966","28891","1307067"
"0984","Europa Europa","1990","28040","1294557"
"0985","The Baker’s Wife","1938","29390","1302866"
"0986","1984","1984","29140","1301849"
"0987","Klute","1971","28708","1293480"
"0988","The Inland Sea","1991","28747","3536504"
"0989","The Flavor of Green Tea over Rice","1952","28229","1306183"
"0990","Where Is the Friend’s House?","1987","28638","1301897"
"0991","And Life Goes On","1992","28639","1303471"
"0992","Through the Olive Trees","1994","28077","1303465"
"0993","The Cloud-Capped Star","1960","29059","1460605"
"0994","Local Hero","1983","28709","1300467"
