"spine","title","year","ccid","dbid"
"0132","The Ruling Class","1972","678","1297380"
"0133","The Vanishing","1988","677","1296432"
"0134","Häxan","1922","352","1439560"
"0135","Rebecca","1940","680","1293824"
"0136","Spellbound","1945","681","1293973"
"0137","Notorious","1946","682","1300766"
"0138","Rashomon","1950","307","1291879"
"0139","Wild Strawberries","1957","175","1293071"
"0140","8½","1963","150","1361276"
"0141","Children of Paradise","1945","683","1300375"
"0142","The Last Wave","1977","685","1304855"
"0143","That Obscure Object of Desire","1977","686","1303071"
"0144","Loves of a Blonde","1965","246","1303082"
"0145","The Firemen’s Ball","1967","688","1303080"
"0146","The Cranes Are Flying","1957","547","1302077"
"0147","In the Mood for Love","2000","198","1291557"
"0148","Ballad of a Soldier","1959","343","1295614"
"0149","Juliet of the Spirits","1965","689","1299485"
"0150","Bob le flambeur","1956","690","1299521"
"0151","Traffic","2000","381","1299235"
"0152","George Washington","2000","691","1307065"
"0153","General Idi Amin Dada: A Self-Portrait","1974","545","1419851"
"0154","The Horse’s Mouth","1958","695","1295918"
"0155","Tokyo Olympiad","1965","709","1301138"
"0156","Hearts and Minds","1974","711","1301027"
"0157","The Royal Tenenbaums","2001","230","1306031"
"0158","The Importance of Being Earnest","1952","355","1424642"
"0159","Red Beard","1965","713","1296679"
"0160","À nous la liberté","1931","714","1408311"
"0161","Under the Roofs of Paris","1930","715","1306854"
"0162","Ratcatcher","1999","716","1322674"
"0163","Hopscotch","1980","717","1418516"
"0164","Solaris","1972","553","1300977"
"0165","Man Bites Dog","1992","718","1308476"
"0166","Down by Law","1986","719","1301798"
"0168","Monterey Pop","1968","720","1420268"
"0169","Jimi Plays Monterey & Shake! Otis at Monterey","1986","722","1470499"
"0170","Trouble in Paradise","1932","723","1294746"
"0171","Contempt","1963","239","1303555"
"0172","Pépé le moko","1937","363","1304571"
"0173","The Life and Death of Colonel Blimp","1943","359","1299816"
"0174","Band of Outsiders","1964","291","1401588"
"0175","Fear and Loathing in Las Vegas","1998","215","1295576"
"0176","The Killers","1946","724","1449340"
"0176","The Killers","1964","725","1294571"
"0177","The Lost Honor of Katharina Blum","1975","726","1292865"
"0178","My Life as a Dog","1985","727","1291976"
"0180","I Am Curious—Yellow","1967","728","1401623"
"0181","I Am Curious—Blue","1967","729","1401624"
"0182","Straw Dogs","1971","730","1293028"
"0183","Les dames du Bois de Boulogne","1945","451","1307580"
"0184","Desistfilm","1954","731","1478039"
"0184","Mothlight","1963","731","1463715"
"0184","Eye Myth","1967","731","1937065"
"0184","The Wold Shadow","1972","731","1865020"
"0184","The Garden of Earthly Delights","1981","731","1937071"
"0184","Night Music","1986","731","1465942"
"0184","The Dante Quartet","1987","731","1477508"
"0184","Rage Net","1988","731","1865024"
"0184","Glaze of Cathexis","1990","731","1464195"
"0184","Delicacies of Molten Horror Synapse","1991","731","1474737"
