"rank","name_cn","name","date","bgmid","dbid"
"74","歌牌情缘2","ちはやふる2","2013年1月11日","41568","10793475"
"75","数码兽大冒险","デジモンアドベンチャー","1999-03-07","3128","1970134"
"76","爆漫王。3","バクマン。3","2012年10月6日","33352","7161694"
"77","星际牛仔 天国之扉","カウボーイビバップ 天国の扉","2001年9月1日","860","1307031"
"78","福音战士新剧场版：序","ヱヴァンゲリヲン新劇場版:序","2007年9月1日","772","1968790"
"79","十二国记","十二国記","2002年4月9日","1856","1394510"
"80","剧场版 魔法少女小圆 剧场版 [新篇] 叛逆的物语","劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語","2013年10月26日","44693","10569151"
"81","棋魂","ヒカルの碁","2001年10月10日","605","1474243"
"82","∀高达","∀ガンダム","1999年4月9日","3553","1766590"
"83","水星领航员 第二季","ARIA The NATURAL","2006年4月2日","1269","2043601"
"84","物怪","モノノ怪","2007年7月12日","2496","2340927"
"85","皇家国教骑士团 OVA","HELLSING OVA","2006年2月10日","493","1758491"
"86","化物语","化物語","2009年7月3日","1671","3893384"
"87","虫师 续章 铃之雫","蟲師 鈴の雫","2015年5月16日","120700","26287114"
"88","飞跃巅峰！","トップをねらえ!","1988年10月7日","769","1300798"
"89","永生之酒","BACCANO! -バッカーノ!-","2007年7月26日","965","3326764"
"90","太空丹迪 第二季","スペース☆ダンディ シーズン2","2014年7月6日","100501","25851659"
"91","机器人总动员","Wall·E","2008-06-27","1104","2131459"
"92","水星领航员 OVA","ARIA The OVA ～ARIETTA～","2007年9月21日","750","2258612"
"93","虫师 蚀日之翳","蟲師 日蝕む翳","2014年1月4日","88473","25774760"
"94","哆啦A梦","ドラえもん","2005年4月15日","18692","3538051"
"95","JOJO的奇妙冒险","ジョジョの奇妙な冒険","2012年10月5日","43558","11498785"
"96","夏目友人帐 参","夏目友人帳 参","2011年7月4日","12536","5967223"
"97","比宇宙更远的地方","宇宙よりも遠い場所","2018年1月2日","218708","27080661"
"98","我的三体 章北海传","","2020年1月21日","246001","34892096"
"99","Heart Catch 光之美少女!","ハートキャッチプリキュア!","2010年2月7日","4124","4935091"
"100","新世纪福音战士剧场版 死与新生","新世紀エヴァンゲリオン劇場版 シト新生","1997年3月15日","6048","1455442"
"101","3月的狮子","3月のライオン","2016年10月8日","147068","26615510"
"102","强风吹拂","風が強く吹いている","2018年10月2日","248154","30238385"
"103","东京教父","東京ゴッドファーザーズ","2003年11月8日","842","1310177"
"104","来自新世界","新世界より","2012年9月28日","37785","10527275"
"105","王牌投手 振臂高挥","おおきく振りかぶって","2007年4月12日","1267","2189090"
"106","别对映像研出手！","映像研には手を出すな！","2020年1月5日","282433","33438250"
"107","冰菓","氷菓","2012年4月22日","27364","10001418"
"108","来自深渊","メイドインアビス","2017年7月7日","203526","26940008"
"109","王牌投手 振臂高挥～夏日大会篇～","おおきく振りかぶって～夏の大会編～","2010年4月1日","4077","4217246"
"110","电脑线圈","電脳コイル","2007年5月12日","794","2085545"
"111","龙猫","となりのトトロ","1988年4月16日","302","1291560"
