"rank","title","year","imdbid","dbid"
"125","Bicycle Thieves","1948","tt0040522","1295873"
"126","Dangal","2016","tt5074352","26387939"
"127","The Wolf of Wall Street","2013","tt0993846","2997076"
"128","The Truman Show","1998","tt0120382","1292064"
"129","Green Book","2018","tt6966692","27060077"
"130","Batman Begins","2005","tt0372784","1309069"
"131","Hamilton","2020","tt8503618","34961898"
"132","Taxi Driver","1976","tt0075314","1292222"
"133","Shutter Island","2010","tt1130884","2334904"
"134","Judgment at Nuremberg","1961","tt0055031","1292589"
"135","For a Few Dollars More","1965","tt0059578","1295586"
"136","Some Like It Hot","1959","tt0053291","1292574"
"137","Jurassic Park","1993","tt0107290","1292523"
"138","There Will Be Blood","2007","tt0469494","1945780"
"139","The Kid","1921","tt0012349","1293270"
"140","The Father","2020","tt10272386","33432655"
"141","All About Eve","1950","tt0042192","1401385"
"142","The Sixth Sense","1999","tt0167404","1297630"
"143","Ran","1985","tt0089881","1296196"
"144","Casino","1995","tt0112641","1299799"
"145","The Chaos Class Failed the Class","1975","tt0252488","3188244"
"146","No Country for Old Men","2007","tt0477348","1857099"
"147","The Thing","1982","tt0084787","1296794"
"148","Top Gun: Maverick","2022","tt1745960","6893932"
"149","Pan's Labyrinth","2006","tt0457430","1767042"
"150","Unforgiven","1992","tt0105695","1293566"
"151","Prisoners","2013","tt1392214","3592859"
"152","Kill Bill: Vol. 1","2003","tt0266697","1291580"
"153","A Beautiful Mind","2001","tt0268978","1306029"
"154","The Treasure of the Sierra Madre","1948","tt0040897","1292516"
"155","Howl's Moving Castle","2004","tt0347149","1308807"
"156","Finding Nemo","2003","tt0266543","1291586"
"157","Yojimbo","1961","tt0055630","1292515"
"158","The Great Escape","1963","tt0057115","1294947"
"159","Monty Python and the Holy Grail","1975","tt0071853","1294917"
"160","The Elephant Man","1980","tt0080678","1293200"
"161","The Best of Youth","2003","tt0346336","1291831"
"162","Klaus","2019","tt4729430","26858510"
"163","Dial M for Murder","1954","tt0046912","1301231"
"164","Gone with the Wind","1939","tt0031381","1300267"
"165","The Secret in Their Eyes","2009","tt1305806","4066125"
"166","Chinatown","1974","tt0071315","1293889"
"167","Lock, Stock and Two Smoking Barrels","1998","tt0120735","1293350"
"168","V for Vendetta","2005","tt0434409","1309046"
"169","Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle","2025","tt32820897","36524559"
"170","Rashomon","1950","tt0042876","1291879"
"171","Inside Out","2015","tt2096673","10533913"
"172","Catch Me If You Can","2002","tt0264464","1305487"
"173","Three Billboards Outside Ebbing, Missouri","2017","tt5027774","26611804"
"174","Trainspotting","1996","tt0117951","1292528"
"175","The Bridge on the River Kwai","1957","tt0050212","1294958"
"176","Harry Potter and the Deathly Hallows: Part 2","2011","tt1201607","3011235"
"177","Fargo","1996","tt0116282","1292067"
"178","Raging Bull","1980","tt0081398","1293155"
"179","Warrior","2011","tt1291584","3217169"
"180","The Wild Robot","2024","tt29623480","36689857"
"181","Dead Poets Society","1989","tt0097165","1291548"
"182","Million Dollar Baby","2004","tt0405159","1309016"
"183","Ben-Hur","1959","tt0052618","1293150"
"184","Barry Lyndon","1975","tt0072684","1292472"
"185","Mad Max: Fury Road","2015","tt1392190","3592854"
"186","Gran Torino","2008","tt1205489","3026357"
"187","My Neighbor Totoro","1988","tt0096283","1291560"
"188","Children of Heaven","1997","tt0118849","1303021"
"189","Hacksaw Ridge","2016","tt2119532","26325320"
"190","The Grand Budapest Hotel","2014","tt2278388","11525673"
"191","12 Years a Slave","2013","tt2024544","6879185"
"192","Before Sunrise","1995","tt0112471","1296339"
"193","Blade Runner","1982","tt0083658","1291839"
"194","Spider-Man: No Way Home","2021","tt10872600","26933210"
"195","Memories of Murder","2003","tt0353969","1300299"
"196","Ratatouille","2007","tt0382932","1793491"
"197","How to Train Your Dragon","2010","tt0892769","2353023"
"198","Gone Girl","2014","tt2267998","21318488"
"199","Monsters, Inc.","2001","tt0198781","1291579"
"200","Jaws","1975","tt0073195","1294941"
"201","In the Name of the Father","1993","tt0107207","1297009"
"202","Ford v Ferrari","2019","tt1950186","6538866"
"203","Wild Tales","2014","tt3011894","24750126"
"204","The Gold Rush","1925","tt0015864","1298817"
"205","Sherlock Jr.","1924","tt0015324","1303408"
"206","Mary and Max","2009","tt0978762","3072124"
"207","The Deer Hunter","1978","tt0077416","1292403"
"208","The Wages of Fear","1953","tt0046268","1299932"
"209","The General","1926","tt0017925","1292778"
"210","Logan","2017","tt3315342","25765735"
"211","Mr. Smith Goes to Washington","1939","tt0031679","1297127"
"212","Rocky","1976","tt0075148","1295742"
"213","On the Waterfront","1954","tt0047296","1292521"
"214","Tokyo Story","1953","tt0046438","1291568"
"215","Wild Strawberries","1957","tt0050986","1293071"
"216","Pirates of the Caribbean: The Curse of the Black Pearl","2003","tt0325980","1298070"
"217","The Third Man","1949","tt0041959","1295451"
"218","Spotlight","2015","tt1895587","25954475"
"219","Maharaja","2024","tt26548265","36934908"
"220","The Terminator","1984","tt0088247","1300656"
"221","La haine","1995","tt0113247","1306449"
"222","Jai Bhim","2021","tt15097216","35652715"
"223","The Big Lebowski","1998","tt0118715","1300044"
"224","The Seventh Seal","1957","tt0050976","1293234"
"225","Room","2015","tt3170832","25724855"
"226","The Sound of Music","1965","tt0059742","1294408"
"227","The Best Years of Our Lives","1946","tt0036868","1294100"
"228","Hotel Rwanda","2004","tt0395169","1291822"
"229","Platoon","1986","tt0091763","1293396"
"230","Before Sunset","2004","tt0381681","1291990"
"231","A Silent Voice: The Movie","2016","tt5323662","26264454"
"232","The Incredibles","2004","tt0317705","1291577"
"233","The Exorcist","1973","tt0070047","1293755"
"234","Hachi: A Dog's Tale","2009","tt1028532","3011091"
"235","Rush","2013","tt1979320","6803494"
"236","The Wizard of Oz","1939","tt0032138","1292625"
"237","Stand by Me","1986","tt0092005","1292925"
"238","The Iron Giant","1999","tt0129167","1293863"
"239","The Passion of Joan of Arc","1928","tt0019254","1293783"
"240","My Father and My Son","2005","tt0476735","1793200"
"241","The Battle of Algiers","1966","tt0058946","1419005"
"242","The Handmaiden","2016","tt4016934","25977027"
"243","One Battle After Another","2025","tt30144839","36176155"
"244","Network","1976","tt0074958","1297531"
"245","Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train","2020","tt11032374","34845781"
"246","The Grapes of Wrath","1940","tt0032551","1292465"
"247","To Be or Not to Be","1942","tt0035446","1303418"
"248","Gangs of Wasseypur","2012","tt1954470","10605729"
"249","Drishyam","2015","tt4430212","26419637"
"250","Andhadhun","2018","tt8108198","30334073"
